,publication,article,hedge_word
0,infowars,infowars1,alleg
1,infowars,infowars1,alleg
2,infowars,infowars1,perhaps
3,infowars,infowars1,sugges
4,infowars,infowars1,sugges
5,infowars,infowars1,similar
6,infowars,infowars1,may
7,infowars,infowars1,may
8,infowars,infowars1,apparently
9,infowars,infowars1,possibl
10,infowars,infowars2,perhaps
11,infowars,infowars2,maybe
12,infowars,infowars2,may
13,infowars,infowars2,may
14,infowars,infowars2,may
15,infowars,infowars2,might
16,infowars,infowars2,claim
17,infowars,infowars2,claim
18,infowars,infowars2,likely
19,infowars,infowars2,believe
20,infowars,infowars2,if ... was in fact
21,nyt,nyt1,may
22,nyt,nyt1,believe
23,nyt,nyt1,believe
24,nyt,nyt1,seem
25,nyt,nyt1,seem
26,nyt,nyt1,seem
27,nyt,nyt2,might
28,breitbart,breitbart1,think
29,breitbart,breitbart2,alleg
30,breitbart,breitbart2,claim
31,breitbart,breitbart2,claim
32,breitbart,breitbart2,claim
33,breitbart,breitbart2,claim
34,breitbart,breitbart2,claim
35,breitbart,breitbart2,seem
36,foxnews,foxnews1,sugges
37,foxnews,foxnews1,may
38,foxnews,foxnews1,possibl
39,foxnews,foxnews1,claim
40,foxnews,foxnews1,it is clear
41,foxnews,foxnews2,alleg
42,foxnews,foxnews2,maybe
43,foxnews,foxnews2,may
44,foxnews,foxnews2,may
45,foxnews,foxnews2,possibl
46,foxnews,foxnews2,think
47,foxnews,foxnews2,think
48,huffpost,huffpost1,sugges
49,huffpost,huffpost1,may
50,huffpost,huffpost1,i guess
51,huffpost,huffpost2,may
52,huffpost,huffpost2,might
53,huffpost,huffpost2,claim
54,huffpost,huffpost2,claim
55,huffpost,huffpost2,claim
56,huffpost,huffpost2,claim
57,huffpost,huffpost2,think
58,huffpost,huffpost2,think
59,huffpost,huffpost2,reason to doubt
60,huffpost,huffpost2,speculat
61,huffpost,huffpost2,an alternative theory
62,usatoday,usatoday1,possibl
63,usatoday,usatoday1,i guess
64,usatoday,usatoday2,may
65,usatoday,usatoday2,may
66,usatoday,usatoday2,believe
67,usatoday,usatoday2,think
68,usatoday,usatoday2,i guess
69,usatoday,usatoday2,speculat
70,motherjones,motherjones2,sugges
